소스 파일,페이지 번호,추정 문제 번호,추출된 텍스트
2024.pdf,16,N/A,"4
(미적분)
홀수형
16
20
단답형"
2024.pdf,16,29,"29. 첫째항과 공비가 각각 이 아닌 두 등비수열 
, 에 대하여 두 급수 

∞
, 

∞
이 각각 수렴하고


∞


∞
×

∞
,
×

∞
×

∞

이 성립한다. 

∞

일 때, 의 값을 
구하시오. [4점]"
2024.pdf,16,30,"30. 실수 전체의 집합에서 미분가능한 함수 의 도함수 
′가
′sincos
이다. 양수 에 대하여 곡선  위의 점 에서의 
접선의 방정식을 라 하자. 함수 




가 에서 극대 또는 극소가 되도록 하는 모든 양수 를 
작은 수부터 크기순으로 나열할 때, 번째 수를 이라 하자. 


×의 값을 구하시오. [4점]
* 확인 사항
◦답안지의 해당란에 필요한 내용을 정확히 기입(표기)했는지 확인
하시오.
◦이어서, ｢선택과목(기하)｣ 문제가 제시되오니, 자신이 선택한 
과목인지 확인하시오.
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,17,N/A,"홀수형
(기하)
3
17
20
5지선다형"
2024.pdf,17,23,"23. 좌표공간의 두 점 A, B에 대하여 
선분 AB의 중점의 좌표가 일 때, 의 값은? [2점]
①
②
③
④
⑤"
2024.pdf,17,24,"24. 타원 





 위의 점 에서의 접선의 
기울기는? (단, 는 양수이다.) [3점]
①
②


③


④


⑤


2024학년도 대학수학능력시험 문제지
(기하)
제2 교시
1
홀수형
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,18,N/A,"2
(기하)
홀수형
18
20"
2024.pdf,18,25,"25. 두 벡터 
, 에 대하여


,
,



일 때, 
의 값은? [3점]
①


②
③


④
⑤

"
2024.pdf,18,26,"26. 좌표공간에 평면 가 있다. 평면  위에 있지 않은 서로 다른 
두 점 A , B의 평면  위로의 정사영을 각각 A′, B′ 이라 할 때, 

AB 
A′B′ 
이다. 선분 AB의 중점 M의 평면  위로의 정사영을 M′ 이라 할 때, 

PM′⊥
A′B′, 
PM′ 
이 되도록 평면  위에 점 P 를 잡는다. 
삼각형 A′B′P 의 평면 ABP 위로의 정사영의 넓이가 
일 때, 
선분 PM의 길이는? [3점]
①
②
③
④
⑤
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,19,N/A,"홀수형
(기하)
3
19
20"
2024.pdf,19,27,"27. 초점이 F 인 포물선  위의 한 점 A 에서 포물선의 
준선에 내린 수선의 발을 B라 하고, 직선 BF 와 포물선이 만나는 
두 점을 각각 C, D라 하자. 
BC 
CD 일 때, 삼각형 ABD의 
넓이는? (단, 
CF 
DF 이고, 점 A 는 원점이 아니다.) [3점]
①
②
③
④
⑤"
2024.pdf,19,28,"28. 그림과 같이 서로 다른 두 평면 , 의 교선 위에 

AB 인 두 점 A , B가 있다. 선분 AB를 지름으로 하는 
원 이 평면  위에 있고, 선분 AB를 장축으로 하고 
두 점 F , F′을 초점으로 하는 타원 가 평면  위에 있다.
원  위의 한 점 P 에서 평면 에 내린 수선의 발을 H 라 할 때,

HF′ 
HF 이고 ∠HFF′
이다. 직선 HF 와 타원 가 
만나는 점 중 점 H 와 가까운 점을 Q라 하면, 
FH 
FQ 이다.
점 H 를 중심으로 하고 점 Q를 지나는 평면  위의 원은 
반지름의 길이가 이고 직선 AB에 접한다. 두 평면 , 가 
이루는 각의 크기를 라 할 때, cos의 값은? 
(단, 점 P 는 평면  위에 있지 않다.) [4점]
①



②



③


④


⑤



이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,20,N/A,"4
(기하)
홀수형
20
20
단답형"
2024.pdf,20,29,"29. 양수 에 대하여 두 점 F, F′을 초점으로 하고, 
주축의 길이가 인 쌍곡선이 있다. 이 쌍곡선 위에 다음 조건을 
만족시키는 서로 다른 두 점 P , Q가 존재하도록 하는 
모든 의 값의 합을 구하시오. [4점]
(가) 점 P 는 제사분면 위에 있고, 
점 Q는 직선 PF′ 위에 있다.
(나) 삼각형 PF′F 는 이등변삼각형이다.
(다) 삼각형 PQF 의 둘레의 길이는 이다."
2024.pdf,20,30,"30. 좌표평면에 한 변의 길이가 인 정삼각형 ABC가 있다. 
선분 AB를 으로 내분하는 점을 D, 선분 BC를 으로 
내분하는 점을 E, 선분 CA 를 으로 내분하는 점을 F 라 
하자. 네 점 P , Q, R, X가 다음 조건을 만족시킨다.
(가) 
DP
EQ
FR
(나) 
AX 
PB 
QC 
RA

AX의 값이 최대일 때, 삼각형 PQR의 넓이를 라 하자. 
의 값을 구하시오. [4점]
* 확인 사항
◦답안지의 해당란에 필요한 내용을 정확히 기입(표기)했는지 확인
하시오.
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,21,N/A,"짝수형
1
1
20
5지선다형"
2024.pdf,21,1,"1. 

× 

의 값은? [2점]
①
②
③
④
⑤"
2024.pdf,21,2,"2. 함수 에 대하여 lim
→

의 
값은? [2점]
①
②
③
④
⑤"
2024.pdf,21,3,"3. 
인 에 대하여 sin
일 때, 
tan의 값은? [3점]
①


②


③

④

⑤

"
2024.pdf,21,4,"4. 함수









≥
가 실수 전체의 집합에서 연속일 때, 상수 의 값은? [3점]
①
②
③
④
⑤
2024학년도 대학수학능력시험 문제지
제2 교시
1
짝수형
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,22,N/A,"2  
짝수형
2
20"
2024.pdf,22,5,"5. 다항함수 가
′,

을 만족시킬 때, 의 값은? [3점]
①
②
③
④
⑤"
2024.pdf,22,6,"6. 등비수열 의 첫째항부터 제항까지의 합을 이라 하자.
,


일 때, 의 값은? [3점] 
①
②
③
④
⑤"
2024.pdf,22,7,"7. 함수 
가 에서 극대이고 
에서 극소일 때, 의 값은? (단, 와 는 상수이다.) 
[3점]
①
②
③
④
⑤
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,23,N/A,"짝수형
3
3
20"
2024.pdf,23,8,"8. 삼차함수 가 모든 실수 에 대하여 

를 만족시킬 때, 


의 값은? [3점]
①
②
③
④
⑤"
2024.pdf,23,9,"9. 수직선 위의 두 점 Plog, Qlog에 대하여 
선분 PQ를 으로 내분하는 점의 좌표가 일 때, 
의 값은? (단, 은 인 상수이다.) [4점]
①

②

③

④

⑤

"
2024.pdf,23,10,"10. 시각 일 때 동시에 원점을 출발하여 수직선 위를 
움직이는 두 점 P , Q의 시각 (≥)에서의 속도가 각각
,

이다. 시각 에서의 두 점 P , Q 사이의 거리를 라 할 때, 
함수 는 구간 에서 증가하고, 구간 에서 
감소하고, 구간 ∞에서 증가한다. 시각 에서 
까지 점 Q가 움직인 거리는? (단, ) [4점]
①


②


③


④


⑤


이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,24,N/A,"4  
짝수형
4
20"
2024.pdf,24,11,"11. 공차가 이 아닌 등차수열 에 대하여 
, 







일 때, 


의 값은? [4점]
①
②
③
④
⑤"
2024.pdf,24,12,"12. 함수 
와 실수 ()에 대하여 
함수 는








-
≥
이다. 함수 의 그래프와 축으로 둘러싸인 영역의 
넓이의 최댓값은? [4점]
①


②


③


④


⑤


이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,25,N/A,"짝수형
5
5
20"
2024.pdf,25,13,"13. 그림과 같이 

AB , 
BC 
, 
AD×
CD ,
∠BAC 
 
인 사각형 ABCD가 있다. 삼각형 ABC의 넓이를 , 
삼각형 ACD의 넓이를 라 하고, 삼각형 ACD의 외접원의 
반지름의 길이를 이라 하자. 

일 때, 
sin∠ADC

의 값은? [4점]
①


②


③


④


⑤

"
2024.pdf,25,14,"14. 두 자연수 , 에 대하여 함수 는 







≤


이다. 실수 에 대하여 함수 의 그래프와 직선 가 
만나는 점의 개수를 라 하자.
lim
→
lim
→

를 만족시키는 실수 의 개수가 이 되도록 하는 두 자연수 
, 의 순서쌍 에 대하여 의 최댓값은? [4점]
①
②
③
④
⑤
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,26,N/A,"6  
짝수형
6
20"
2024.pdf,26,15,"15. 첫째항이 자연수인 수열 이 모든 자연수 에 대하여














를 만족시킬 때, 이 되도록 하는 모든 의 값의 
합은? [4점]
①
②
③
④
⑤
단답형"
2024.pdf,26,16,"16. 방정식 



을 만족시키는 실수 의 값을 구하시오.
[3점]"
2024.pdf,26,17,"17. 함수 에 대하여 ′의 값을 구하시오. 
[3점]
이 홀수인 경우
이 짝수인 경우
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,27,N/A,"짝수형
7
7
20"
2024.pdf,27,18,"18. 두 수열 , 에 대하여






, 



일 때, 


의 값을 구하시오. [3점]"
2024.pdf,27,19,"19. 함수 sin 
라 할 때, 에서 부등식 


을 만족시키는 모든 자연수 의 값의 합을 구하시오. [3점]"
2024.pdf,27,20,"20. 인 실수 에 대하여 함수 를

라 하자. 곡선  위의 점 O에서의 접선이 
곡선 와 만나는 점 중 O가 아닌 점을 A 라 하고, 
곡선  위의 점 A 에서의 접선이 축과 만나는 점을 
B라 하자. 점 A 가 선분 OB를 지름으로 하는 원 위의 점일 때, 

OA ×
AB 의 값을 구하시오. [4점]
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,28,N/A,"8  
짝수형
8
20"
2024.pdf,28,21,"21. 양수 에 대하여 ≥에서 정의된 함수 는







≤
log
≥
이다. ≥인 실수 에 대하여 닫힌구간 에서의 
의 최댓값을 라 하자. 구간 ∞에서 함수 의 
최솟값이 가 되도록 하는 양수 의 최솟값을 구하시오. [4점]"
2024.pdf,28,22,"22. 최고차항의 계수가 인 삼차함수 가 다음 조건을 
만족시킨다.
함수 에 대하여 

을 만족시키는 정수 는 존재하지 않는다.
′

, ′
일 때, 의 값을 구하시오. [4점]
* 확인 사항
◦답안지의 해당란에 필요한 내용을 정확히 기입(표기)했는지 확인
하시오.
◦이어서, ｢선택과목(확률과 통계)｣ 문제가 제시되오니, 자신이 
선택한 과목인지 확인하시오.
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,29,N/A,"짝수형
(확률과 통계)
3
9
20
5지선다형"
2024.pdf,29,23,"23. 개의 문자 , , , , 를 모두 일렬로 나열하는 경우의 
수는? [2점]
①
②
③
④
⑤"
2024.pdf,29,24,"24. 두 사건 , 는 서로 독립이고
P∩
,
PP
일 때, P의 값은? (단, 은 의 여사건이다.) [3점]
①

②

③

④

⑤

2024학년도 대학수학능력시험 문제지
(확률과 통계)
제2 교시
1
짝수형
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,30,N/A,"2
(확률과 통계)
짝수형
10
20"
2024.pdf,30,25,"25. 숫자 , , , , , 이 하나씩 적혀 있는 장의 카드가 있다. 
이 장의 카드를 모두 한 번씩 사용하여 일렬로 임의로
나열할 때, 양 끝에 놓인 카드에 적힌 두 수의 합이 이하가 
되도록 카드가 놓일 확률은? [3점]
①


②


③


④

⑤

"
2024.pdf,30,26,"26. 개의 동전을 동시에 던져서 앞면이 나오는 동전의 개수를 
확률변수 라 하고, 이산확률변수 를












라 하자. E의 값은? [3점]
①


②


③


④

⑤


가  또는 의 값을 가지는 경우
가  이상의 값을 가지는 경우
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,31,N/A,"짝수형
(확률과 통계)
3
11
20"
2024.pdf,31,27,"27. 정규분포 N을 따르는 모집단에서 크기가 인 표본을
임의추출하여 얻은 표본평균이 일 때, 모평균 에 대한 
신뢰도 %의 신뢰구간이 ≤≤
이다. 의 값은? 
(단, 가 표준정규분포를 따르는 확률변수일 때, 
P≤로 계산한다.) [3점]
①
②
③
④
⑤"
2024.pdf,31,28,"28. 하나의 주머니와 두 상자 A , B가 있다. 주머니에는 숫자 
, , , 가 하나씩 적힌 장의 카드가 들어 있고, 
상자 A 에는 흰 공과 검은 공이 각각 개 이상 들어 있고, 
상자 B는 비어 있다. 이 주머니와 두 상자 A , B를 사용하여 
다음 시행을 한다.
주머니에서 임의로 한 장의 카드를 꺼내어 
카드에 적힌 수를 확인한 후 다시 주머니에 넣는다.
확인한 수가 이면
상자 A 에 있는 흰 공 개를 상자 B에 넣고,
확인한 수가  또는 이면 
상자 A 에 있는 흰 공 개와 검은 공 개를 상자 B에 넣고,
확인한 수가 이면
상자 A 에 있는 흰 공 개와 검은 공 개를 상자 B에 넣는다.
이 시행을 번 반복한 후 상자 B에 들어 있는 공의 개수가 
일 때, 상자 B에 들어 있는 검은 공의 개수가 일 확률은? 
[4점]
①


②


③


④


⑤


이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,32,N/A,"4
(확률과 통계)
짝수형
12
20
단답형"
2024.pdf,32,29,"29. 다음 조건을 만족시키는  이하의 자연수 , , , 의 
모든 순서쌍 의 개수를 구하시오. [4점]
≤≤이고 ≤≤이다."
2024.pdf,32,30,"30. 양수 에 대하여 확률변수 가 정규분포 N을 
따른다.
P≤≥

이 되도록 하는 모든 양수 에 대하여 
P≤≤의 
최댓값을 오른쪽 표준정규분포표를 
이용하여 구한 값을 라 하자.
×의 값을 구하시오. [4점]
* 확인 사항
◦답안지의 해당란에 필요한 내용을 정확히 기입(표기)했는지 확인
하시오.
◦이어서, ｢선택과목(미적분)｣ 문제가 제시되오니, 자신이 선택한 
과목인지 확인하시오.

P≤≤










이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,33,N/A,"짝수형
(미적분)
3
13
20
5지선다형"
2024.pdf,33,23,"23. lim
→
ln
ln의 값은? [2점]
①

②

③

④

⑤"
2024.pdf,33,24,"24. 매개변수 ()으로 나타내어진 곡선
ln,
sin 
에서 일 때, 

의 값은? [3점]
①

②

③
④

⑤

2024학년도 대학수학능력시험 문제지
(미적분)
제2 교시
1
짝수형
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,34,N/A,"2
(미적분)
짝수형
14
20"
2024.pdf,34,25,"25. 양의 실수 전체의 집합에서 정의되고 미분가능한 
두 함수 , 가 있다. 는 의 역함수이고, 
′는 양의 실수 전체의 집합에서 연속이다. 
모든 양수 에 대하여



′

lnlnln
이고 일 때, 의 값은? [3점]
①
②
③
④
⑤"
2024.pdf,34,26,"26. 그림과 같이 곡선 
cos
≤≤
와 
축 및 두 직선 
, 
로 둘러싸인 부분을 밑면으로 
하는 입체도형이 있다. 이 입체도형을 축에 수직인 평면으로 
자른 단면이 모두 정사각형일 때, 이 입체도형의 부피는? [3점]
① 
② 
③
④
⑤
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,35,N/A,"짝수형
(미적분)
3
15
20"
2024.pdf,35,27,"27. 실수 에 대하여 원점을 지나고 곡선 

에 접하는 
직선의 기울기를 라 하자. 를 만족시키는 
상수 에 대하여 ′의 값은? [3점]
①

②

③

④

⑤"
2024.pdf,35,28,"28. 실수 전체의 집합에서 연속인 함수 가 모든 실수 에 
대하여 ≥이고, 일 때 
이다.
모든 양수 에 대하여 에 대한 방정식 의 서로 다른 
실근의 개수는 이고, 이 방정식의 두 실근 중 작은 값을 , 
큰 값을 라 하자. 
두 함수 , 는 모든 양수 에 대하여
(는 상수)
를 만족시킨다. 


일 때, 

의 값은? [4점]
①

②

③

④

⑤

이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,36,N/A,"4
(미적분)
짝수형
16
20
단답형"
2024.pdf,36,29,"29. 첫째항과 공비가 각각 이 아닌 두 등비수열 
, 에 대하여 두 급수 

∞
, 

∞
이 각각 수렴하고


∞


∞
×

∞
,
×

∞
×

∞

이 성립한다. 

∞

일 때, 의 값을 
구하시오. [4점]"
2024.pdf,36,30,"30. 실수 전체의 집합에서 미분가능한 함수 의 도함수 
′가
′sincos
이다. 양수 에 대하여 곡선  위의 점 에서의 
접선의 방정식을 라 하자. 함수 




가 에서 극대 또는 극소가 되도록 하는 모든 양수 를 
작은 수부터 크기순으로 나열할 때, 번째 수를 이라 하자. 


×의 값을 구하시오. [4점]
* 확인 사항
◦답안지의 해당란에 필요한 내용을 정확히 기입(표기)했는지 확인
하시오.
◦이어서, ｢선택과목(기하)｣ 문제가 제시되오니, 자신이 선택한 
과목인지 확인하시오.
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,37,N/A,"짝수형
(기하)
3
17
20
5지선다형"
2024.pdf,37,23,"23. 좌표공간의 두 점 A, B에 대하여 
선분 AB의 중점의 좌표가 일 때, 의 값은? [2점]
①
②
③
④
⑤"
2024.pdf,37,24,"24. 타원 





 위의 점 에서의 접선의 
기울기는? (단, 는 양수이다.) [3점]
①
②


③


④


⑤


2024학년도 대학수학능력시험 문제지
(기하)
제2 교시
1
짝수형
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,38,N/A,"2
(기하)
짝수형
18
20"
2024.pdf,38,25,"25. 두 벡터 
, 에 대하여


,
,



일 때, 
의 값은? [3점]
①


②
③


④
⑤

"
2024.pdf,38,26,"26. 좌표공간에 평면 가 있다. 평면  위에 있지 않은 서로 다른 
두 점 A , B의 평면  위로의 정사영을 각각 A′, B′ 이라 할 때, 

AB 
A′B′ 
이다. 선분 AB의 중점 M의 평면  위로의 정사영을 M′ 이라 할 때, 

PM′⊥
A′B′, 
PM′ 
이 되도록 평면  위에 점 P 를 잡는다. 
삼각형 A′B′P 의 평면 ABP 위로의 정사영의 넓이가 
일 때, 
선분 PM의 길이는? [3점]
①
②
③
④
⑤
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,39,N/A,"짝수형
(기하)
3
19
20"
2024.pdf,39,27,"27. 초점이 F 인 포물선  위의 한 점 A 에서 포물선의 
준선에 내린 수선의 발을 B라 하고, 직선 BF 와 포물선이 만나는 
두 점을 각각 C, D라 하자. 
BC 
CD 일 때, 삼각형 ABD의 
넓이는? (단, 
CF 
DF 이고, 점 A 는 원점이 아니다.) [3점]
①
②
③
④
⑤"
2024.pdf,39,28,"28. 그림과 같이 서로 다른 두 평면 , 의 교선 위에 

AB 인 두 점 A , B가 있다. 선분 AB를 지름으로 하는 
원 이 평면  위에 있고, 선분 AB를 장축으로 하고 
두 점 F , F′을 초점으로 하는 타원 가 평면  위에 있다.
원  위의 한 점 P 에서 평면 에 내린 수선의 발을 H 라 할 때,

HF′ 
HF 이고 ∠HFF′
이다. 직선 HF 와 타원 가 
만나는 점 중 점 H 와 가까운 점을 Q라 하면, 
FH 
FQ 이다.
점 H 를 중심으로 하고 점 Q를 지나는 평면  위의 원은 
반지름의 길이가 이고 직선 AB에 접한다. 두 평면 , 가 
이루는 각의 크기를 라 할 때, cos의 값은? 
(단, 점 P 는 평면  위에 있지 않다.) [4점]
①



②



③


④


⑤



이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2024.pdf,40,N/A,"4
(기하)
짝수형
20
20
단답형"
2024.pdf,40,29,"29. 양수 에 대하여 두 점 F, F′을 초점으로 하고, 
주축의 길이가 인 쌍곡선이 있다. 이 쌍곡선 위에 다음 조건을 
만족시키는 서로 다른 두 점 P , Q가 존재하도록 하는 
모든 의 값의 합을 구하시오. [4점]
(가) 점 P 는 제사분면 위에 있고, 
점 Q는 직선 PF′ 위에 있다.
(나) 삼각형 PF′F 는 이등변삼각형이다.
(다) 삼각형 PQF 의 둘레의 길이는 이다."
2024.pdf,40,30,"30. 좌표평면에 한 변의 길이가 인 정삼각형 ABC가 있다. 
선분 AB를 으로 내분하는 점을 D, 선분 BC를 으로 
내분하는 점을 E, 선분 CA 를 으로 내분하는 점을 F 라 
하자. 네 점 P , Q, R, X가 다음 조건을 만족시킨다.
(가) 
DP
EQ
FR
(나) 
AX 
PB 
QC 
RA

AX의 값이 최대일 때, 삼각형 PQR의 넓이를 라 하자. 
의 값을 구하시오. [4점]
* 확인 사항
◦답안지의 해당란에 필요한 내용을 정확히 기입(표기)했는지 확인
하시오.
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2025.pdf,1,N/A,"홀수형
1
1
20
5지선다형"
2025.pdf,1,1,"1. 
× 

의 값은? [2점]
① 
②
③
④
⑤"
2025.pdf,1,2,"2. 함수 에 대하여 lim
→

의 
값은? [2점]
①
②
③
④
⑤"
2025.pdf,1,3,"3. 첫째항과 공비가 모두 양수 인 등비수열 이





을 만족시킬 때, 의 값은? [3점]
①
②
③
④
⑤"
2025.pdf,1,4,"4. 함수









≥
가 실수 전체의 집합에서 연속일 때, 상수 의 값은? [3점]
①
②
③
④
⑤
2025학년도 대학수학능력시험 문제지
제2 교시
1
홀수형
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2025.pdf,2,N/A,"2  
홀수형
2
20"
2025.pdf,2,5,"5. 함수 에 대하여 ′의 값은? [3점]
①
②
③
④
⑤"
2025.pdf,2,6,"6. cos

일 때, 
cos
sin
의 값은? [3점]
①
②
③
④
⑤"
2025.pdf,2,7,"7. 다항함수 가 모든 실수 에 대하여




를 만족시킬 때, 의 값은? [3점]
①
②
③
④
⑤
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2025.pdf,3,N/A,"홀수형
3
3
20"
2025.pdf,3,8,"8. 두 실수 log



log, log 에 대하여
×의 값은? [3점]
①
②
③
④
⑤"
2025.pdf,3,9,"9. 함수 에 대하여







일 때, 양수 의 값은? [4점]
①
②
③
④
⑤"
2025.pdf,3,10,"10. 닫힌구간 에서 정의된 함수 cos이 

에서 최댓값 을 갖도록 하는 두 자연수 , 의 
순서쌍 에 대하여 의 최솟값은? [4점]
①
②
③
④
⑤
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2025.pdf,4,N/A,"4  
홀수형
4
20"
2025.pdf,4,11,"11. 시각 일 때 출발하여 수직선 위를 움직이는 점 P 의 
시각 (≥)에서의 위치 가


이다. 출발한 후 점 P 의 운동 방향이 바뀌는 시각에서의
점 P 의 가속도는? [4점]
①
②
③
④
⑤"
2025.pdf,4,12,"12. 인 수열 과 인 등차수열 이 
모든 자연수 에 대하여







을 만족시킬 때, 


의 값은? [4점]
①
②
③
④
⑤
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2025.pdf,5,N/A,"홀수형
5
5
20"
2025.pdf,5,13,"13. 최고차항의 계수가 인 삼차함수 가 
,  ′
을 만족시킨다. 원점 O와 점 P에 대하여 선분 OP 가 
곡선 와 만나는 점 중 P 가 아닌 점을 Q라 하자.
곡선 와 축 및 선분 OQ로 둘러싸인 부분의 넓이를 , 
곡선 와 선분 PQ로 둘러싸인 부분의 넓이를 라 할 때, 
의 값은? [4점]
①


②


③


④


⑤

"
2025.pdf,5,14,"14. 그림과 같이 삼각형 ABC에서 선분 AB 위에 
AD 
DB 인 
점 D를 잡고, 점 A 를 중심으로 하고 점 D를 지나는 원을 , 
원 와 선분 AC가 만나는 점을 E라 하자. 
sinsin이고, 삼각형 ADE와 삼각형 ABC의 넓이의 
비가 이다. 삼각형 ABC의 외접원의 반지름의 길이가 일 때, 
원  위의 점 P 에 대하여 삼각형 PBC의 넓이의 최댓값은? 
(단, 
AB 
AC ) [4점]
①
②
③
④
⑤
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2025.pdf,6,N/A,"6  
홀수형
6
20"
2025.pdf,6,15,"15. 상수 (≠)와 최고차항의 계수가 음수인 이차함수 
에 대하여 함수







≤


이 다음 조건을 만족시킨다. 
(가) 함수 는 실수 전체의 집합에서 미분가능하다.
(나) 에 대한 방정식 ′× ′의 서로 다른 
실근의 개수는 이다.
의 값은? [4점]
①
②
③
④
⑤
단답형"
2025.pdf,6,16,"16. 방정식
loglog
를 만족시키는 실수 의 값을 구하시오. [3점]"
2025.pdf,6,17,"17. 다항함수 에 대하여 ′이고 일 때, 
의 값을 구하시오. [3점]
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2025.pdf,7,N/A,"홀수형
7
7
20"
2025.pdf,7,18,"18. 수열 이 모든 자연수 에 대하여

를 만족시킬 때, 


의 값을 구하시오. [3점]"
2025.pdf,7,19,"19. 양수 에 대하여 함수 를

라 하자. 함수 의 극댓값이 

일 때, 의 값을 
구하시오. [3점]"
2025.pdf,7,20,"20. 곡선 


과 직선 가 만나는 점의 좌표를 
라 하자. 실수 전체의 집합에서 정의된 함수 가 다음 
조건을 만족시킨다.
인 모든 실수 에 대하여



이고 이다. 

×

의 값을 구하시오. [4점]
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2025.pdf,8,N/A,"8  
홀수형
8
20"
2025.pdf,8,21,"21. 함수 가 다음 조건을 만족시키도록 
하는 두 정수 , 에 대하여 의 최댓값을 구하시오. [4점] 
모든 실수 에 대하여 lim
→

의 값이 존재한다."
2025.pdf,8,22,"22. 모든 항이 정수이고 다음 조건을 만족시키는 모든 수열 
에 대하여 의 값의 합을 구하시오. [4점]
(가) 모든 자연수 에 대하여













이다.
(나) 인 자연수 의 최솟값은 이다.
또는 이 짝수인 경우
이 홀수인 경우
* 확인 사항
◦답안지의 해당란에 필요한 내용을 정확히 기입(표기)했는지 확인
하시오.
◦이어서, ｢선택과목(확률과 통계)｣ 문제가 제시되오니, 자신이 
선택한 과목인지 확인하시오.
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2025.pdf,9,N/A,"홀수형
(확률과 통계)
3
9
20
5지선다형"
2025.pdf,9,23,"23. 다항식 
의 전개식에서 의 계수는? [2점]
①
②
③
④
⑤"
2025.pdf,9,24,"24. 두 사건 , 에 대하여
PP
,  P∩

일 때, P∪의 값은? [3점]
①

②

③


④

⑤


2025학년도 대학수학능력시험 문제지
(확률과 통계)
제2 교시
홀수형
1
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2025.pdf,10,N/A,"2
(확률과 통계)
홀수형
10
20"
2025.pdf,10,25,"25. 정규분포 N을 따르는 모집단에서 크기가 인 
표본을 임의추출하여 얻은 표본평균을 이용하여 구한 에 
대한 신뢰도 %의 신뢰구간이 ≤≤이다. 의 값은? 
(단, 가 표준정규분포를 따르는 확률변수일 때, 
P≤로 계산한다.) [3점]
①
②
③
④
⑤"
2025.pdf,10,26,"26. 어느 학급의 학생 명을 대상으로 과목 A 와 과목 B에 대한 
선호도를 조사하였다. 이 조사에 참여한 학생은 과목 A 와 
과목 B 중 하나를 선택하였고, 과목 A 를 선택한 학생은 명, 
과목 B를 선택한 학생은 명이다. 이 조사에 참여한 학생 
명 중에서 임의로 명을 선택할 때, 선택한 명의 학생 
중에서 적어도 한 명이 과목 B를 선택한 학생일 확률은? [3점]
①

②

③


④


⑤


이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2025.pdf,11,N/A,"홀수형
(확률과 통계)
3
11
20"
2025.pdf,11,27,"27. 숫자 , , , , 가 각각 하나씩 적혀 있는 장의 
카드가 들어 있는 주머니가 있다. 이 주머니에서 임의로 
장의 카드를 꺼내어 카드에 적혀 있는 수를 확인한 후 다시 
넣는 시행을 한다. 이 시행을 번 반복하여 확인한 세 개의 수의 
평균을 
라 하자. V
일 때, 양수 의 값은?
[3점]
①
②
③
④
⑤"
2025.pdf,11,28,"28. 집합 에 대하여 다음 조건을 
만족시키는 함수 →의 개수는? [4점]
(가) ×의 값이 의 약수이다.
(나) ≤≤≤≤≤
①
②
③
④
⑤
이 문제지에 관한 저작권은 한국교육과정평가원에 있습니다."
2025.pdf,12,N/A,"4
(확률과 통계)
홀수형
12
20
단답형"
